연도,시도,행정구,교육청,도서관명,주소,전화번호,설립일,대지,연면적(㎡),건물동수,시청각실,장서수,열람석,연간이용자수,연간이용책수,,연간순회문고이용책수,이동도서관 현황,,,자료수,,,,도서현황,,,,,,,,,,,,,,예산액(단위:원)
2017,서울,종로구,서울시,서울특별시교육청정독도서관,서울특별시 종로구 북촌로5길 48 (화동),02-2011-5799,19770104,"36,470","13,266",13,1,"542,055","1,820","1,622,421","2,054,686","325,371","5,300",0,0,0,"515,081","26,974","1,225","23,363","495,667","11,176","8,238","29,254","24,687","17,262","113,398","26,259","82,429","28,974","19,962","125,425","47,431",0,"1,411,817,000"
2017,서울,송파구,서울시,송파도서관,서울특별시 송파구 동남로 263 (송파도서관) (오금동),02-3434-3333,19941214,"6,469","8,259",1,1,"248,686","1,176","1,831,215","2,141,394","552,729","1,105",0,0,0,"238,203","10,483",481,"17,604","230,018",673,"7,512","10,500","12,858","7,181","44,943","13,630","18,946","14,208","9,749","85,011","21,177",0,"910,505,000"
2017,서울,용산구,서울시,서울특별시교육청용산도서관,서울특별시 용산구 두텁바위로 160 (후암동),02-6902-7777,19810421,"1,736","22,962",1,1,"301,403",955,"842,897","1,011,890","287,301","1,500",0,0,0,"284,370","17,033",590,"1,370","261,806","6,219","16,345","11,435","14,551","8,691","52,731","15,459","17,955","14,443","14,627","112,480","21,998",0,"685,190,000"
2017,서울,양천구,서울시,서울특별시교육청양천도서관,서울특별시 양천구 목동서로 113 (목동),02-2062-3900,19900709,"4,244","6,844",1,1,"294,083","1,612","1,761,949","3,295,329","703,429","4,450",0,0,0,"282,670","11,413",790,"9,016","277,412",0,"5,258","10,333","13,744","7,367","50,310","14,231","21,164","15,706","10,553","114,373","24,889",0,"901,210,000"
2017,서울,종로구,서울시,서울특별시교육청종로도서관,서울특별시 종로구 사직로9길 15-14 (사직동),02-737-1701,19201127,"2,914","3,553",1,1,"262,892",412,"1,153,409","729,074","243,720","3,326",0,0,0,"250,735","12,157",651,"14,205","224,515","21,880","4,340","14,726","17,097","9,204","56,488","9,483","23,239","16,873","9,870","69,325","24,430",0,"508,140,000"
2017,서울,동대문구,서울시,동대문도서관,서울특별시 동대문구 천호대로4길 22 (신설동),02-2170-1000,19710331,991,"4,352",1,1,"242,635",436,"593,855","862,081","320,733","3,474",0,0,0,"231,121","11,514",941,"13,551","218,411","4,459","8,251","9,662","13,125","8,098","47,173","12,196","20,306","12,765","9,414","77,542","20,840",0,"534,906,000"
2017,서울,영등포구,서울시,서울특별시교육청영등포평생학습관,서울특별시 영등포구 버드나루로15길 10 (당산동),02-2676-8883,19740601,"3,240","6,804",1,1,"222,324",966,"788,432","1,358,341","250,260",930,0,0,0,"213,118","9,206",580,"5,168","206,522",2,"6,594","8,363","10,141","8,017","39,091","14,357","16,716","10,260","9,709","77,518","18,946",0,"755,533,000"
2017,서울,종로구,서울시,서울특별시교육청어린이도서관,서울특별시 종로구 사직로9길 7 (사직동),02-731-2300,19790504,"6,611","3,796",3,1,"301,403",504,"994,101","6,223,787","711,639","14,010",0,0,0,"291,462","9,941",324,"13,190","277,195","1,593","12,674","13,303","7,728","3,988","43,477","40,552","7,795","6,631","12,403","122,416","33,169",0,"486,363,000"
2017,서울,도봉구,서울시,서울특별시교육청도봉도서관,서울특별시 도봉구 삼양로 556 (쌍문1동 422-163),02-6714-7400,19811201,"2,024","2,743",1,1,"233,968",324,"761,315","994,872","333,586","2,670",0,0,0,"222,156","11,812",822,"5,968","215,929","1,255","4,972","9,292","11,178","8,026","35,705","12,254","15,353","10,895","10,995","90,444","18,014",0,"436,681,000"
2017,서울,강서구,서울시,서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29 (등촌동),02-3219-7000,19830315,"3,576","4,023",3,1,"250,383",934,"917,093","957,360","315,465","12,100",0,0,0,"239,166","11,217",612,"14,670","231,222",752,"7,192","9,562","10,671","6,395","44,945","10,329","19,675","11,789","10,624","98,252","16,924",0,"534,309,000"
2017,서울,강남구,서울시,서울특별시교육청개포도서관,서울특별시 강남구 선릉로4길 30 (개포동),02-3460-8200,19840328,"10,000","2,377",1,1,"218,232",192,"1,072,731","1,831,620","445,557",0,0,0,0,"206,065","12,167",741,"1,866","195,688",175,"10,202","8,963","11,441","5,890","35,320","10,254","14,379","10,058","7,977","82,746","19,037",0,"438,758,000"
2017,서울,강동구,서울시,서울특별시교육청강동도서관,서울특별시 강동구 양재대로116길 57 (길동),02-483-0528,19840425,"3,196","3,082",1,1,"198,101",830,"991,900","1,294,131","287,913",0,0,0,0,"188,581","9,520",680,"12,875","180,340",236,"8,005","8,495","10,818","6,144","35,659","10,534","16,127","9,787","8,530","66,187","16,300",0,"439,204,000"
2017,서울,강동구,서울시,서울특별시교육청고덕평생학습관,서울특별시 강동구 고덕로 295 (고덕동. 고덕평생학습관),02-6902-2600,19840830,"9,507","3,854",1,1,"173,195",568,"888,160","892,329","324,280",962,0,0,0,"167,272","5,923",728,"4,022","162,491",0,"4,781","6,745","9,290","5,062","31,546","10,221","13,817","9,402","7,676","58,718","14,795",0,"658,871,000"
2017,서울,서대문구,서울시,서대문도서관,서울특별시 서대문구 모래내로 412 (연희동),02-6948-2153,19861218,"4,322","3,805",1,1,"201,377",576,"1,121,762","1,260,420","252,084","7,660",0,0,0,"190,508","10,869",457,"1,901","182,428","4,165","3,915","8,415","10,040","6,507","35,030","10,776","13,017","10,140","8,747","70,690","17,146",0,"511,331,000"
2017,서울,구로구,서울시,서울특별시교육청고척도서관,서울특별시 구로구 고척로45길 31 (고척동),02-2615-0524,19900124,"3,306","5,437",1,1,"235,904",677,"191,888","337,853","106,637",900,0,0,0,"226,488","9,416",519,"2,876","216,862","5,163","4,463","7,869","9,449","6,205","42,956","11,948","15,253","11,033","10,517","91,823","19,435",0,"530,537,000"
2017,서울,노원구,서울시,서울특별시교육청노원평생학습관,서울특별시 노원구 동일로204길 13 (중계동),02-979-1741,19900508,"3,055","4,223",1,1,"181,553",652,"1,551,290","1,706,354","452,128",691,0,0,0,"174,769","6,784",328,"2,123","168,874",337,"5,558","7,409","9,305","4,569","36,059","9,589","14,034","9,410","9,134","60,863","14,397",0,"742,876,000"
2017,서울,마포구,서울시,서울특별시교육청마포평생학습관,서울특별시 마포구 홍익로2길 16 (서교동),02-2137-0000,19800711,"5,557","11,720",2,1,"384,011",775,"1,909,787","2,590,555","635,743","2,664",0,0,0,"355,815","28,196",943,"9,942","346,332","1,718","7,765","12,985","19,783","11,638","62,364","23,420","26,535","22,772","14,381","130,823","31,114",0,"2,025,848,000"
2017,서울,강남구,서울시,서울특별시교육청강남도서관,서울특별시 강남구 선릉로116길 45 (삼성동),02-3448-4741,19820323,"1,079","1,631",1,0,"165,701",108,"563,765","889,907","249,352",0,0,0,0,"157,173","8,528",558,"1,724","148,048",137,"8,988","6,876","8,708","4,335","26,907","9,343","12,246","9,023","7,188","58,976","13,571",0,"380,000,000"
2017,서울,구로구,서울시,서울특별시교육청구로도서관,서울특별시 구로구 공원로 15 (구로동),02-6958-2800,19841008,"1,738","2,538",3,1,"144,928",435,"841,863","971,504","280,807",800,0,0,0,"136,451","8,477",512,"2,575","132,746",835,"2,870","6,432","5,538","2,899","24,852","6,661","12,488","6,144","6,194","54,069","11,174",0,"402,845,000"
2017,서울,동작구,서울시,동작도서관,서울특별시 동작구 장승배기로 94 (노량진동),02-823-6417,19910506,"1,721","1,974",1,1,"161,527",504,"844,256","1,186,497","404,883",0,0,0,0,"154,267","7,260",506,"13,125","150,191",274,"3,802","6,154","7,387","5,049","27,434","9,037","11,457","8,075","8,433","57,521","13,720",0,"389,241,000"
2017,서울,용산구,서울시,서울특별시교육청남산도서관,서울특별시 용산구 소월로 109 (후암동),02-754-7338,19221005,"13,316","9,329",1,1,"514,581",429,"1,233,637","1,395,735","277,520","10,850",0,0,0,"498,802","15,779",868,"17,156","415,081","68,804","14,917","27,159","24,906","17,118","114,722","19,361","57,987","30,469","19,743","143,747","43,590",0,"999,690,000"